date	total_num_addresses
2022-04-03	811263
2022-04-02	951158
2022-04-01	1072470
2022-03-31	983682
2022-03-30	951685
2022-03-29	969097
2022-03-28	1052990
2022-03-27	819815
2022-03-26	839220
2022-03-25	1084340
2022-03-24	960407
2022-03-23	974165
2022-03-22	939357
2022-03-21	947604
2022-03-20	790049
2022-03-19	887796
2022-03-18	991557
2022-03-17	1037510
2022-03-16	1018750
2022-03-15	941486
2022-03-14	935383
2022-03-13	766163
2022-03-12	818806
2022-03-11	911121
2022-03-10	1005046
2022-03-09	967729
2022-03-08	963012
2022-03-07	926136
2022-03-06	784370
2022-03-05	818445
2022-03-04	966182
2022-03-03	1017862
2022-03-02	1100872
2022-03-01	1066006
2022-02-28	979415
2022-02-27	792012
2022-02-26	816478
2022-02-25	942391
2022-02-24	956898
2022-02-23	863872
2022-02-22	909069
2022-02-21	882870
2022-02-20	745783
2022-02-19	859806
2022-02-18	950177
2022-02-17	938318
2022-02-16	930742
2022-02-15	1022494
2022-02-14	904274
2022-02-13	827179
2022-02-12	1088876
2022-02-11	984285
2022-02-10	1029618
2022-02-09	1005608
2022-02-08	1024351
2022-02-07	933433
2022-02-06	913200
2022-02-05	961340
2022-02-04	890327
2022-02-03	937908
2022-02-02	981122
2022-02-01	1063484
2022-01-31	999813
2022-01-30	783141
2022-01-29	832877
2022-01-28	955985
2022-01-27	912466
2022-01-26	885174
2022-01-25	897415
2022-01-24	976712
2022-01-23	767044
2022-01-22	997611
2022-01-21	1033192
2022-01-20	958119
2022-01-19	950212
2022-01-18	916974
2022-01-17	971298
2022-01-16	775715
2022-01-15	830710
2022-01-14	991166
2022-01-13	948196
2022-01-12	972780
2022-01-11	964369
2022-01-10	968910
2022-01-09	763229
2022-01-08	822664
2022-01-07	969222
2022-01-06	960123
2022-01-05	1010591
2022-01-04	981322
2022-01-03	937567
2022-01-02	747901
2022-01-01	703687
2021-12-31	1115526
2021-12-30	983172
2021-12-29	1147265
2021-12-28	1052127
2021-12-27	1001923
2021-12-26	771509
2021-12-25	878650
2021-12-24	987514
2021-12-23	991258
2021-12-22	1007074
2021-12-21	1020149
2021-12-20	1015320
2021-12-19	741075
2021-12-18	877278
2021-12-17	993183
2021-12-16	883914
2021-12-15	1059017
2021-12-14	970932
2021-12-13	978610
2021-12-12	747889
2021-12-11	818663
2021-12-10	942604
2021-12-09	1118585
2021-12-08	920483
2021-12-07	1009283
2021-12-06	1068510
2021-12-05	974421
2021-12-04	973332
2021-12-03	1018511
2021-12-02	1188324
2021-12-01	1066896
2021-11-30	970183
2021-11-29	993337
2021-11-28	817993
2021-11-27	802097
2021-11-26	1015247
2021-11-25	986642
2021-11-24	1092846
2021-11-23	921004
2021-11-22	931794
2021-11-21	861537
2021-11-20	867447
2021-11-19	974692
2021-11-18	992178
2021-11-17	1006223
2021-11-16	1037312
2021-11-15	1078080
2021-11-14	820224
2021-11-13	845061
2021-11-12	960970
2021-11-11	1049695
2021-11-10	1039083
2021-11-09	1195964
2021-11-08	998089
2021-11-07	843881
2021-11-06	834639
2021-11-05	1050274
2021-11-04	1017736
2021-11-03	1058657
2021-11-02	1039531
2021-11-01	1080241
2021-10-31	883834
2021-10-30	912641
2021-10-29	1018114
2021-10-28	1056342
2021-10-27	977381
2021-10-26	1000999
2021-10-25	1076612
2021-10-24	753932
2021-10-23	824852
2021-10-22	984230
2021-10-21	1143093
2021-10-20	981559
2021-10-19	1087443
2021-10-18	992177
2021-10-17	839443
2021-10-16	955334
2021-10-15	1032014
2021-10-14	1002358
2021-10-13	1004822
2021-10-12	962449
2021-10-11	1017932
2021-10-10	803883
2021-10-09	1017910
2021-10-08	986355
2021-10-07	1147003
2021-10-06	902218
2021-10-05	1058306
2021-10-04	1040922
2021-10-03	815756
2021-10-02	978461
2021-10-01	962874
2021-09-30	1085666
2021-09-29	842156
2021-09-28	943302
