date	unique_senders
2021-07-22	110364
2021-07-21	105422
2021-07-20	101852
2021-07-19	110784
2021-07-18	93176
2021-07-17	92559
2021-07-16	93326
2021-07-15	92986
2021-07-14	91561
2021-07-13	101626
2021-07-12	124229
2021-07-11	86062
2021-07-10	88250
2021-07-09	108889
2021-07-08	83404
2021-07-07	91140
2021-07-06	102895
2021-07-05	111148
2021-07-04	87758
2021-07-03	83808
2021-07-02	84802
2021-07-01	93349
2021-06-30	89493
2021-06-29	104247
2021-06-28	88556
2021-06-27	82840
2021-06-26	74634
2021-06-25	86380
2021-06-24	88291
2021-06-23	90462
2021-06-22	90953
2021-06-21	91617
2021-06-20	83335
2021-06-19	84672
2021-06-18	94013
2021-06-17	114122
2021-06-16	112771
2021-06-15	107388
2021-06-14	87268
2021-06-13	67772
2021-06-12	65618
2021-06-11	76578
2021-06-10	69268
2021-06-09	62135
2021-06-08	58334
2021-06-07	62625
2021-06-06	46257
2021-06-05	48329
2021-06-04	48347
2021-06-03	52676
2021-06-02	66837
2021-06-01	49810
2021-05-31	44502
2021-05-30	40141
2021-05-29	37668
2021-05-28	41682
2021-05-27	43212
2021-05-26	41439
2021-05-25	37692
2021-05-24	34969
2021-05-23	29468
2021-05-22	28417
2021-05-21	34134
2021-05-20	35345
2021-05-19	37422
2021-05-18	38529
2021-05-17	29368
2021-05-16	29361
2021-05-15	28413
2021-05-14	44606
2021-05-13	22941
2021-05-12	25319
2021-05-11	21624
2021-05-10	21074
2021-05-09	22068
2021-05-08	19868
2021-05-07	23355
2021-05-06	21367
2021-05-05	20759
2021-05-04	20843
2021-05-03	22206
2021-05-02	21545
2021-05-01	18377
2021-04-30	18188
2021-04-29	15117
2021-04-28	16389
2021-04-27	13685
2021-04-26	10956
2021-04-25	8210
2021-04-24	7209
2021-04-23	7451
2021-04-22	8638
2021-04-21	6803
2021-04-20	6916
2021-04-19	6439
2021-04-18	6339
2021-04-17	5250
2021-04-16	5727
2021-04-15	6703
2021-04-14	6473
2021-04-13	5365
2021-04-12	5621
2021-04-11	5916
2021-04-10	5159
2021-04-09	5285
2021-04-08	5072
2021-04-07	4832
2021-04-06	5382
2021-04-05	5714
2021-04-04	4756
2021-04-03	4395
2021-04-02	5074
2021-04-01	5969
2021-03-31	7408
2021-03-30	5236
2021-03-29	5945
2021-03-28	5483
2021-03-27	4420
2021-03-26	4249
2021-03-25	4136
2021-03-24	5100
2021-03-23	4479
2021-03-22	4851
2021-03-21	5467
2021-03-20	4487
2021-03-19	4184
2021-03-18	4115
2021-03-17	4262
2021-03-16	4259
2021-03-15	4534
2021-03-14	4758
2021-03-13	4195
2021-03-12	4403
2021-03-11	4370
2021-03-10	4421
2021-03-09	4301
2021-03-08	4527
2021-03-07	4617
2021-03-06	3889
2021-03-05	3722
2021-03-04	4211
2021-03-03	4658
2021-03-02	5889
2021-03-01	3586
2021-02-28	3086
2021-02-27	2599
2021-02-26	2387
2021-02-25	2386
2021-02-24	2208
2021-02-23	1978
2021-02-22	2188
2021-02-21	2196
2021-02-20	1711
2021-02-19	1469
2021-02-18	1649
2021-02-17	1342
2021-02-16	1525
2021-02-15	1485
2021-02-14	1288
2021-02-13	1502
2021-02-12	1604
2021-02-11	1376
2021-02-10	1334
2021-02-09	1270
2021-02-08	1229
2021-02-07	1036
2021-02-06	1056
2021-02-05	1092
2021-02-04	890
2021-02-03	988
2021-02-02	888
2021-02-01	976
2021-01-31	1042
2021-01-30	1173
2021-01-29	1439
2021-01-28	961
2021-01-27	971
2021-01-26	1041
2021-01-25	1003
2021-01-24	971
2021-01-23	1354
2021-01-22	2616
2021-01-21	1332
2021-01-20	989
2021-01-19	826
2021-01-18	849
2021-01-17	771
2021-01-16	744
2021-01-15	572
2021-01-14	654
2021-01-13	598
2021-01-12	667
2021-01-11	485
2021-01-10	537
2021-01-09	559
2021-01-08	531
2021-01-07	581
2021-01-06	586
2021-01-05	535
2021-01-04	488
2021-01-03	533
2021-01-02	498
2021-01-01	564
2020-12-31	517
2020-12-30	468
2020-12-29	563
2020-12-28	610
2020-12-27	587
2020-12-26	512
2020-12-25	436
2020-12-24	519
2020-12-23	644
2020-12-22	659
2020-12-21	576
2020-12-20	706
2020-12-19	687
2020-12-18	711
2020-12-17	538
2020-12-16	542
2020-12-15	589
2020-12-14	507
2020-12-13	442
2020-12-12	464
2020-12-11	502
2020-12-10	463
2020-12-09	564
2020-12-08	579
2020-12-07	652
2020-12-06	609
2020-12-05	492
2020-12-04	544
2020-12-03	581
2020-12-02	540
2020-12-01	561
2020-11-30	545
2020-11-29	532
