date	unique_recievers
2020-11-18	81818
2020-11-17	45634
2020-11-16	38975
2020-11-15	23140
2020-11-14	38415
2020-11-13	40546
2020-11-12	40345
2020-11-11	41657
2020-11-10	76596
2020-11-09	41370
2020-11-08	41815
2020-11-07	42671
2020-11-06	36221
2020-11-05	37326
2020-11-04	37532
2020-11-03	68515
2020-11-02	36735
2020-11-01	38438
2020-10-31	38856
2020-10-30	37141
2020-10-29	32462
2020-10-28	41811
2020-10-27	67967
2020-10-26	36302
2020-10-25	43851
2020-10-24	43973
2020-10-23	48158
2020-10-22	36129
2020-10-21	38618
2020-10-20	69601
2020-10-19	38462
2020-10-18	30822
2020-10-17	32957
2020-10-16	42659
2020-10-15	43372
2020-10-14	43025
2020-10-13	66601
2020-10-12	28813
2020-10-11	28969
2020-10-10	31737
2020-10-09	32599
2020-10-08	33776
2020-10-07	33064
2020-10-06	66223
2020-10-05	28664
2020-10-04	27810
2020-10-03	33559
2020-10-02	34527
2020-10-01	30937
2020-09-30	33085
2020-09-29	66256
2020-09-28	33490
2020-09-27	32325
2020-09-26	43371
2020-09-25	44965
2020-09-24	42434
2020-09-23	35905
2020-09-22	67675
2020-09-21	33718
2020-09-20	36115
2020-09-19	30908
2020-09-18	36765
2020-09-17	28866
2020-09-16	30246
2020-09-15	68063
2020-09-14	44700
2020-09-13	39980
2020-09-12	36199
2020-09-11	39862
2020-09-10	43682
2020-09-09	39691
2020-09-08	73136
2020-09-07	37895
2020-09-06	48012
2020-09-05	44314
2020-09-04	46491
2020-09-03	38236
2020-09-02	40445
2020-09-01	74466
2020-08-31	37323
2020-08-30	35580
2020-08-29	39895
2020-08-28	48087
2020-08-27	45475
2020-08-26	41035
2020-08-25	69634
2020-08-24	46392
2020-08-23	48410
2020-08-22	48807
2020-08-21	50597
2020-08-20	52381
2020-08-19	48366
2020-08-18	85646
2020-08-17	59834
2020-08-16	49246
2020-08-15	54621
2020-08-14	49916
2020-08-13	53606
2020-08-12	49200
2020-08-11	78079
2020-08-10	47352
2020-08-09	39380
2020-08-08	35335
2020-08-07	39919
2020-08-06	40628
2020-08-05	44770
2020-08-04	69259
2020-08-03	39823
2020-08-02	37241
2020-08-01	50287
2020-07-31	46273
2020-07-30	32307
2020-07-29	30140
2020-07-28	66368
2020-07-27	35898
2020-07-26	32561
2020-07-25	32752
2020-07-24	32304
2020-07-23	28747
2020-07-22	27659
2020-07-21	57623
2020-07-20	26643
2020-07-19	23174
2020-07-18	21679
2020-07-17	21275
2020-07-16	22565
2020-07-15	25452
2020-07-14	58491
2020-07-13	29559
2020-07-12	20862
2020-07-11	26076
2020-07-10	27450
2020-07-09	27164
2020-07-08	29129
2020-07-07	60455
2020-07-06	27441
2020-07-05	22301
2020-07-04	24959
2020-07-03	25247
2020-07-02	22241
2020-07-01	24440
2020-06-30	60028
2020-06-29	27925
2020-06-28	22765
2020-06-27	22724
2020-06-26	22725
2020-06-25	19960
2020-06-24	21505
2020-06-23	54818
2020-06-22	24667
2020-06-21	24244
2020-06-20	24108
2020-06-19	24118
2020-06-18	29013
2020-06-17	21625
2020-06-16	57845
2020-06-15	31374
2020-06-14	24633
2020-06-13	22890
2020-06-12	24373
2020-06-11	30945
2020-06-10	35657
2020-06-09	77093
2020-06-08	43539
