date	total_gas_fee
2022-01-03	35300.31366
2022-01-02	34135.667347
2022-01-01	32041.118859
2021-12-31	37882.611763
2021-12-30	37038.921877
2021-12-29	38952.881047
2021-12-28	39632.575304
2021-12-27	42747.177598
2021-12-26	37024.328681
2021-12-25	38961.274245
2021-12-24	41845.12195
2021-12-23	36429.892506
2021-12-22	37406.589024
2021-12-21	34167.975074
2021-12-20	36259.932824
2021-12-19	35926.011477
2021-12-18	38074.312051
2021-12-17	38903.814932
2021-12-16	42324.468405
2021-12-15	50137.780462
2021-12-14	83871.536675
2021-12-13	57694.865584
2021-12-12	48515.48716
2021-12-11	50156.847852
2021-12-10	50883.9724
2021-12-09	50482.135721
2021-12-08	52232.98171
2021-12-07	56160.940792
2021-12-06	57587.543665
2021-12-05	56821.184611
2021-12-04	63839.661464
2021-12-03	54336.844141
2021-12-02	58794.553084
2021-12-01	51486.737354
2021-11-30	49846.611547
2021-11-29	50165.276239
2021-11-28	50179.832205
2021-11-27	47069.020941
2021-11-26	51649.091866
2021-11-25	55243.782489
2021-11-24	56339.762085
2021-11-23	56164.821281
2021-11-22	52481.746445
2021-11-21	52034.382298
2021-11-20	50085.178173
2021-11-19	51303.880867
2021-11-18	54368.248948
2021-11-17	55533.7156
2021-11-16	58843.98494
2021-11-15	58077.262259
2021-11-14	55275.362099
2021-11-13	56195.387451
2021-11-12	66344.048037
2021-11-11	63791.696841
2021-11-10	91362.465325
2021-11-09	71671.696645
2021-11-08	76895.299264
2021-11-07	59562.351544
2021-11-06	58747.085442
2021-11-05	66098.464146
2021-11-04	71133.101146
2021-11-03	73622.631215
2021-11-02	74922.519387
2021-11-01	72582.035225
2021-10-31	73322.686759
2021-10-30	81479.133251
2021-10-29	88975.627561
2021-10-28	138340.523434
2021-10-27	85334.825239
2021-10-26	73638.807546
2021-10-25	72135.659421
2021-10-24	69230.160583
2021-10-23	51367.572373
2021-10-22	53874.615556
2021-10-21	57395.838207
2021-10-20	60489.885784
2021-10-19	55691.04382
2021-10-18	68717.651679
2021-10-17	50373.973267
2021-10-16	56024.504356
2021-10-15	55789.994438
2021-10-14	56937.018008
2021-10-13	49603.610983
2021-10-12	49275.410703
2021-10-11	53565.405304
2021-10-10	50860.339681
2021-10-09	50225.957653
2021-10-08	52332.11245
2021-10-07	63626.532845
2021-10-06	62974.556755
2021-10-05	61355.154657
2021-10-04	51732.891507
2021-10-03	41628.100194
2021-10-02	46605.163083
2021-10-01	44503.445129
2021-09-30	39371.751986
2021-09-29	40687.424824
2021-09-28	43873.938343
