date	total_gas_fee
2019-06-29	118802457
2019-06-28	162849938
2019-06-27	179343202
2019-06-26	193600445
2019-06-25	152446416
2019-06-24	138461192
2019-06-23	115755263
2019-06-22	137318440
2019-06-21	147200654
2019-06-20	122779026
2019-06-19	145889951
2019-06-18	164120152
2019-06-17	140010519
2019-06-16	105876137
2019-06-15	91769461
2019-06-14	107373088
2019-06-13	97411404
2019-06-12	99562807
2019-06-11	86170276
2019-06-10	89314227
2019-06-09	82544648
2019-06-08	82618044
2019-06-07	90840375
2019-06-06	83847276
2019-06-05	88182536
2019-06-04	110575435
2019-06-03	108443171
2019-06-02	115794233
2019-06-01	78910312
2019-05-31	80502464
2019-05-30	103838127
2019-05-29	94028700
2019-05-28	145516640
2019-05-27	118393297
2019-05-26	88330641
2019-05-25	83881692
2019-05-24	109487720
2019-05-23	91213285
2019-05-22	89391955
2019-05-21	97710813
2019-05-20	105950050
2019-05-19	100392297
2019-05-18	91036926
2019-05-17	162798555
2019-05-16	146743234
2019-05-15	146111202
2019-05-14	101047591
2019-05-13	138179776
2019-05-12	95909292
2019-05-11	106617191
2019-05-10	92454877
2019-05-09	93297676
2019-05-08	97795654
2019-05-07	105825121
2019-05-06	84769810
2019-05-05	83054369
2019-05-04	66836759
2019-05-03	117893925
2019-05-02	112335737
2019-05-01	88622278
2019-04-30	95529894
2019-04-29	93196154
2019-04-28	85600949
2019-04-27	75955473
2019-04-26	87443488
2019-04-25	98731239
2019-04-24	92142389
2019-04-23	102690218
2019-04-22	85795044
2019-04-21	78379493
2019-04-20	96083655
2019-04-19	85556513
2019-04-18	158452563
2019-04-17	88977494
2019-04-16	94862516
2019-04-15	89459555
2019-04-14	91332330
2019-04-13	91790815
2019-04-12	122889555
2019-04-11	93142665
2019-04-10	91314058
2019-04-09	96358952
2019-04-08	100060922
2019-04-07	96901010
2019-04-06	78411636
2019-04-05	115820925
2019-04-04	96136250
2019-04-03	130909132
2019-04-02	141660653
2019-04-01	97923895
2019-03-31	94019688
2019-03-30	86989919
2019-03-29	84994391
2019-03-28	78359649
2019-03-27	92586085
2019-03-26	97850213
2019-03-25	88240812
2019-03-24	61175073
2019-03-23	73281920
2019-03-22	76500560
2019-03-21	103810889
2019-03-20	101257575
2019-03-19	92289116
2019-03-18	99702505
2019-03-17	93424800
2019-03-16	74414726
2019-03-15	72347847
2019-03-14	88839653
2019-03-13	86923649
2019-03-12	86615413
2019-03-11	80991942
2019-03-10	79046870
2019-03-09	87034843
2019-03-08	86088464
2019-03-07	92355705
2019-03-06	118822181
2019-03-05	93764312
2019-03-04	86539186
2019-03-03	79524501
2019-03-02	80590925
2019-03-01	112083413
2019-02-28	68467498
2019-02-27	100239283
2019-02-26	104182820
2019-02-25	80600512
2019-02-24	91354380
2019-02-23	93055494
2019-02-22	86982283
2019-02-21	134999723
2019-02-20	105459233
2019-02-19	109056961
2019-02-18	102439331
2019-02-17	94941166
2019-02-16	80734549
2019-02-15	105666950
2019-02-14	112662025
2019-02-13	96561896
2019-02-12	103718566
2019-02-11	102172125
2019-02-10	75933920
2019-02-09	97982852
2019-02-08	77106296
2019-02-07	86779717
2019-02-06	104163044
2019-02-05	54507453
2019-02-04	61588519
2019-02-03	74812808
2019-02-02	104884764
2019-02-01	101722146
2019-01-31	147899748
2019-01-30	111578233
2019-01-29	86442727
2019-01-28	157708361
2019-01-27	113976810
2019-01-26	84423224
2019-01-25	85416615
2019-01-24	89364237
2019-01-23	92835548
2019-01-22	91846992
2019-01-21	92969736
2019-01-20	110485223
2019-01-19	102898631
2019-01-18	77098905
2019-01-17	94176900
2019-01-16	119889550
2019-01-15	107336622
2019-01-14	119254782
2019-01-13	84241400
2019-01-12	92398796
2019-01-11	104725116
2019-01-10	109297203
2019-01-09	99067413
2019-01-08	82452013
2019-01-07	89771994
2019-01-06	103749644
2019-01-05	87133721
2019-01-04	80213071
2019-01-03	92409032
2019-01-02	77899861
2019-01-01	79112091
2018-12-31	148985582
2018-12-30	125078607
2018-12-29	144492900
2018-12-28	95582337
2018-12-27	79908033
2018-12-26	73387995
2018-12-25	98388892
2018-12-24	104163165
2018-12-23	78179041
2018-12-22	83770548
2018-12-21	87602306
2018-12-20	92343951
2018-12-19	102295437
2018-12-18	101306457
2018-12-17	89872279
2018-12-16	71287524
2018-12-15	86281307
2018-12-14	97127838
2018-12-13	80636412
2018-12-12	98873896
2018-12-11	94649069
2018-12-10	96804911
2018-12-09	90862195
2018-12-08	82719107
2018-12-07	107236722
